pub_id,publication_venue,pub_year,subject_title,written_by
282,"biuletyn-instytutu hodowli i aklimatyzacji roslin ,",1995.0,evaluation of winter rye hybrids fertility,"l madej , r osinski , j jagodzinski"
283,,2004.0,martingale estimating functions based on eigenfunctions for discretely observed small diffusions,m uchida
284,,,social experimentation,h riecken
285,"stanford university technical report stan-cs-208 , stanford , ca ,",,computer implementation of thenite element method,a george
286,"geography ,",,"land degradation in the yallahs basin , jamaica : historical notes and contemporary observations","d barker , dfm mcgregor"
287,"proc . acm sig1r ,",,scatter/gather : a cluster-based approach to browsing large doctnnent collections,"dr cutting , dr karger , jo pedersen , jw tukey"
288,"unpublished manuscript ,",,"september 11 , terror war , and blowback",d kellner
289,"social studies and the young learner ,",1993.0,unity and diversity : holiday celebrations around the world .,a lockledge
290,"geography ,",,four cheers for geography,s jenkins
291,"proceedings of pme ,",,fluency in a discourse or manipulation of mental objects,w dã ¶ rfler
292,proc . 10th acm symp . operating,,dec. 1981 . [ black 1985 ] ap black . supporting distributed applications : experience with eden,ca grove
293,acm sigmod international conference on management of,,"merialdo & p. sindoni , g.â ?? the araneus web-base management systemâ ??","g mecca , p atzeni , a masci"
294,"new directions for teaching and learning : using research to & hellip ; ,",,classroom behaviors related to college teaching effectiveness,h murray
295,"sigmod ,",1999.0,a multimedia presentation algebra,"s adalä ± , ml sapino , vs subrahmanian"
296,"& hellip ; river pcb reclamation/demonstration project , evaluation of",,"inc. , march 1985",m pirnie
297,"www6 / computer networks ,",1997.0,hits and miss-es : a year watching the web,j graham-cumming
298,procs . ieee intelligent vehicles,,blink measurement by image processing and application to warning of driverâ ?? s drowsiness in,"t nakano , k sugiyama , m mizuno , s yamamoto"
299,"athens , greece : ntua publications ,",,description of the picture of a city,"j stefanou , j stefanou"
300,,,falcon : feedback adaptive loop for content-based retrieval,"t authors , c identified"
301,,,a characterization of the bivariate normal-wishart distribution,"d geiger , d heckerman"
302,"new directions for higher education ,",1984.0,a university-industry association model for curriculum enhancement .,m passer
303,"contributions to nephrology ,",1995.0,o-linked oligosaccharide on igal hinge region in iga nephropathy . fundamental study for precise,"y hiki , a horii , h iwase , a tanaka"
304,,2001.0,designing solutions with com + technologies,"r brown , w baron , wd chadwick"
305,,,hints of discontent,s alexander
306,"new directions for adult and continuing education ,",1995.0,the undergraduate curriculum and distance education .,ge miller
307,"lnai n. 3065 : procs . ofâ ?? eonâ ?? 04 ,",,the social delegation cycle,"g boella , l van der torre"
308,"new directions for teaching and learning ,",1997.0,what teachers can do to relieve problems identified by international students,ds lee
309,,,"the haskell school of expression : learning functional programming through multimedia , 2000",p hudak
310,"acm sigart bulletin ,",1991.0,the lilog knowledge representation system,"t bollinger , u pletat"
311,,,combining ontologies : an analysis of problems and solutions,m klein
312,,,dynamic performance and minimum loading effects of an isolated self-excited reluctance generator,ys wang
313,"proc . 28th annual precision time and time interval ( ptti ) & hellip ; ,",,pulsar-appropriate clock statistics,"d matsakis , f josties"
314,"proceedings of 11th international conference on very large & hellip ; ,",,an evaluation of buffer management strategies for relational database systems / / vldb '85,"ht chou , dj dewitt"
315,"communications-acm ,",2001.0,australian women in it,"l von hellens , s nielsen"
316,"electronic design ,",,thin is in : wafer-thinning method delivers ultra-slim chips with a clean process,d bursky
317,"new directions for teaching and learning ,",1989.0,helping faculty to help their students learn .,j katz
318,"9th vldb ,",,database decomposition into 4nf,"g grahne , k raiha"
319,proceedings of the 2000 acm sigplan international conference,,syntactic accidents in program analysis,"d damian , o danvy"
320,"economic geography ,",1979.0,"locational trends in r & d by large us corporations , 1965-1977",ej malecki
321,"phil . mag ,",,on the instability of cylindrical fluid surfaces,l rayleigh
322,"proc . int . conf . on concrete ,",1992.0,collapse analysis of reinforced concrete frames under earthquake [ a ],"cm liu , xl liu"
323,,1986.0,a pattern of vortexflow of continental crust and the environ mental geology in china,l zonghua
324,,,efficient algorithms for large-scale topology discovery,"b donnet , p raoult , t friedman , m crovella"
325,at .,,"yu . a. nikolaev , and yu . r. kevorkyan , â ?? grain-boundary segregation of phosphorous in low-alloy",av nikolaeva
326,"technical report , stanford university , cf. url http://diglib .",,grassroots,"k kamiya , m rã ¶ scheisen , t winograd"
327,,1991.0,discrete subgroups of semisimple lie groups,ga margulis
328,"technical report 411 , stanford university , march",,a direct particle simulation method for hypersonic rarified ow,jd mcdonald
329,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0,hierarchical dynamic router,"k kawamura , m umeda , h shiraishi"
330,,2003.0,"cytoplasmic ion transport as a general , very early step in the orientation of the embryonic left -",m levin
331,"bt technology journal ,",2004.0,shaping minds musically,t machover
332,"unpublished manuscript ,",,an empirical study of sale rates and prices in impressionist and contemporary art auctions,"o ashenfelter , k graddy"
333,"computer networks ,",2000.0,aexible multicast routing protocol for group communication,"s aggarwal , s paul , d massey , d caldararu"
334,"bt technology journal ,",1997.0,deployment and support of complex integrated solutions,"i buxton , swj hodgkiss , gd king"
335,,,impact of control system design on a flexible manufacturing system for colliery arches,sj williams
336,"academy of management journal ,",2000.0,"downsizing in privatized firms in russia , ukraine , and belarus","i filatotchev , t buck , v zukov"
337,"lecture notes in computer science ,",1996.0,dictionary methods for cross-lingual information retrieval,"l ballesteros , wb croft"
338,"journal of personality and social psychology ,",2001.0,compensatory conviction in the face of personal uncertainty : going to extremes and being oneself,"i mcgregor , mp zanna , jg holmes , sj spencer"
339,"computers and society ,",,sigcas chair 's message,cd martin
340,at .,,dose loads on hydrobionts and the population in regions of operation of nuclear-powered ships,"va danilyan , vd vysotskii , mn katkova , ii kryshev"
341,"international conference on irrigation management transfer ,",,"irrigation management transfer in nigeria : a case ofâ ® financial sustainability for operation ,",ik musa
342,unpublished,,systematics of the molar-toothed redhorse suckers ( moxostoma carinatum ) and the rediscovered m.,"re jenkins , bj freeman"
343,"new directions for teaching and learning ,",1984.0,the situational factors affecting teaching .,ld fink
344,"acm press frontier series ,",1990.0,manipulating complex objects,"m lacroix , m vanhoedenaghe"
345,"isbn ,",,"women , fire , and dangerous things : what categories reveal about the mind university of chicago press",g lakoff
346,"madison , wisconsin : university of wisconsin , march ,",,"storage consideration in relation to source , capacity and peak demands , â ?? a paper presented at the",dp proudfit
347,,,rate-monotonic analysis for real-time industrial computing,"mh klein , jp lehoczky , r rajkumar"
348,"computer networks ,",,distributed data bases : a-sumnary of research,"jp fry , me deppe"
349,,1996.0,the evolution of polyandry,"ja zeh , dw zeh"
350,vldb,,intra-transaction parallelism in the mapping of an object model to a relational multi-processor,"m rys , mc norrie , hj schek"
351,"information and software technology ,",1993.0,database requirements for a software engineering environment : criteria and empirical evaluation,"s chen , jm drake , wt tsai"
352,"san diego ,",,er mapper user guide . 922 p,er mapping
353,"phil . mag ,",,the distribution of electrons among atomic levels,ec stoner
354,"ieee transactions on knowledge and data engineering ,",2004.0,building a large and efficient hybrid peer-to-peer internet caching system,"l xiao , x zhang , a andrzejak , s chen"
355,,,pp. 4-5,p assessment
356,"information and software technology ,",1987.0,advanced diagnostics : a pascal interactive system,"nh white , gm haylett"
357,"urban geography ,",,"law , theory , and geography","n blomley , g clark"
358,"new directions for adult and continuing education ,",1993.0,preparing for an adult education evaluation .,rc mason
359,,,nonvisual presentation of graphical user interfaces : contrasting two approaches,"ed mynatt , g weber"
360,"university of washington , seattle ,",,phylip : phylogenetic information package,j felsenstein
361,proceedings of acm,,experience building the open oodb query optimizer,a joseâ ? ¦
362,"acm sigmod record ,",1986.0,a survey of distributed deadlock detection algorithms,ak elmagarmid
363,,1981.0,oam : an office analysis methodology . office automation group memo oam-016,"m sirbu , s schoichet , j kunin , m hammer"
364,,2002.0,self-similarity in the web . 2 : 205â ?? 223,"s dill , r kumar , ks mccurley , s rajagopalan , d"
365,"computerworld ,",,erp can magnify errors,c stedman
366,"journal of emergency nursing ,",1999.0,adding medications in the emergency department : effect on knowledge of medications in older adults,ks hayes
367,,1985.0,the peter norton programmer 's guide to the ibm pc .,p norton
368,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,range multicast routers for large-scale deployment of multimedia application,"n jiang , yh ho , ka hua"
369,"journal of emergency nursing ,",1997.0,guide to finding pediatric injury prevention public education materials,t smith
